,onsets,labels,midi,note,type,open string
134,36.158912,E4-F,64,E4,F,0
135,36.383129,G4-B,67,G4,B,0
136,36.604626,F#4-F,66,F#4,F,0
137,36.811973,F#4-F,66,F#4,F,0
138,37.491156,A3-B,57,A3,B,0
139,37.701769,C4-F,60,C4,F,0
140,38.386395,A3-B,57,A3,B,0
141,38.610612,F#4-F,66,F#4,F,0
142,39.277551,G3-B,55,G3,B,1
143,39.534694,B3-F,59,B3,F,0
144,40.094694,G3-B,55,G3,B,1
145,40.387483,G4-F,67,G4,F,0
146,41.084898,F#4-B,66,F#4,B,0
147,41.359456,A4-B,69,A4,B,0
148,41.606531,G4-F,67,G4,F,0
149,41.951565,F#4-B,66,F#4,B,0
